==================================================
             КУРСЫ ВАЛЮТ НА 12.08.2026            
==================================================
Код    Номинал  Курс (₽)     Название
--------------------------------------------------
AUD    1        58.1232      Австралийский доллар
AZN    1        48.4554      Азербайджанский манат
DZD    100      62.0135      Алжирских динаров
GBP    1        111.3782     Фунт стерлингов
AMD    100      22.5023      Армянских драмов
BHD    1        219.0330     Бахрейнский динар
BYN    1        27.9424      Белорусский рубль
BOB    10       69.9866      Боливиано
BRL    1        16.1645      Бразильский реал
HUF    100      25.9938      Форинтов
VND    10000    32.2834      Донгов
HKD    1        10.4969      Гонконгский доллар
GEL    1        31.4429      Лари
DKK    1        12.7321      Датская крона
AED    1        22.4300      Дирхам ОАЭ
USD    1        82.3742      Доллар США
EUR    1        95.1834      Евро
EGP    10       16.3819      Египетских фунтов
INR    100      86.3171      Индийских рупий
IDR    10000    46.2906      Рупий
IRR    1000000  53.3350      Иранских риалов
KZT    100      17.6738      Тенге
CAD    1        59.0835      Канадский доллар
QAR    1        22.6303      Катарский риал
KGS    100      94.1958      Сомов
CNY    1        12.1819      Юань
CUP    10       34.3226      Кубинских песо
MDL    10       47.4692      Молдавских леев
MNT    1000     22.9141      Тугриков
NGN    1000     60.5630      Найр
NZD    1        48.5060      Новозеландский доллар
NOK    10       86.6404      Норвежских крон
OMR    1        214.2372     Оманский риал
PLN    1        22.1020      Злотый
SAR    1        21.9665      Саудовский риял
RON    1        18.1265      Румынский лей
XDR    1        112.5998     СДР (специальные права заимствования)
SGD    1        64.3448      Сингапурский доллар
TJS    10       89.0205      Сомони
THB    10       24.8993      Батов
BDT    100      66.7050      Так
TRY    10       17.2805      Турецких лир
TMT    1        23.5355      Новый туркменский манат
UZS    10000    69.0213      Узбекских сумов
UAH    10       18.3600      Гривен
CZK    10       39.1997      Чешских крон
SEK    10       86.8026      Шведских крон
CHF    1        101.5586     Швейцарский франк
ETB    100      51.4890      Эфиопских быров
RSD    100      81.0419      Сербских динаров
ZAR    10       50.7146      Рэндов
KRW    1000     58.2026      Вон
JPY    100      52.1554      Иен
MMK    1000     39.2258      Кьятов
==================================================
                  Всего валют: 54                 
==================================================
